p0_sim,delay_time_sim,p0_minus_pth_sim,p0_analytic,delay_time_analytic,p0_minus_pth_fit,delay_time_fit
2.000332500000e-10,8.703000000000e+10,3.324999999998e-14,2.000332500000e-10,8.146596527531e+10,2.992499999998e-14,9.494860566860e+10
2.000977500000e-10,5.337000000000e+10,9.775000000001e-14,2.000977500000e-10,4.995054883788e+10,1.487061055276e-12,1.513078047290e+10
2.002380952381e-10,3.549000000000e+10,2.380952380952e-13,2.002380952381e-10,3.329347613172e+10,2.944197110553e-12,1.097430286702e+10
2.007142857143e-10,2.134000000000e+10,7.142857142857e-13,2.007142857143e-10,2.013718775979e+10,4.401333165829e-12,9.083826255651e+09
2.015571428571e-10,1.495000000000e+10,1.557142857143e-12,2.015571428571e-10,1.407548577210e+10,5.858469221106e-12,7.940865875427e+09
2.029642857143e-10,1.111000000000e+10,2.964285714286e-12,2.029642857143e-10,1.046027100781e+10,7.315605276382e-12,7.153322678589e+09
2.043714285714e-10,9.220000000000e+09,4.371428571429e-12,2.043714285714e-10,8.740432086610e+09,8.772741331658e-12,6.567720888874e+09
2.057785714286e-10,8.102000000000e+09,5.778571428571e-12,2.057785714286e-10,7.680165379077e+09,1.022987738693e-11,6.109908137990e+09
2.071857142857e-10,7.322000000000e+09,7.185714285714e-12,2.071857142857e-10,6.941143477351e+09,1.168701344221e-11,5.739057070196e+09
2.085928571429e-10,6.738000000000e+09,8.592857142857e-12,2.085928571429e-10,6.387293113412e+09,1.314414949749e-11,5.430575360259e+09
2.100000000000e-10,6.278000000000e+09,1.000000000000e-11,2.100000000000e-10,5.951775689188e+09,1.460128555276e-11,5.168641072656e+09
2.200000000000e-10,4.540000000000e+09,2.000000000000e-11,2.200000000000e-10,4.303426221522e+09,1.605842160804e-11,4.942547652241e+09
2.300000000000e-10,3.750000000000e+09,3.000000000000e-11,2.300000000000e-10,3.554600720777e+09,1.751555766332e-11,4.744754444888e+09
2.400000000000e-10,3.267000000000e+09,4.000000000000e-11,2.400000000000e-10,3.101021738905e+09,1.897269371859e-11,4.569775171481e+09
2.500000000000e-10,2.937000000000e+09,5.000000000000e-11,2.500000000000e-10,2.787788119386e+09,2.042982977387e-11,4.413509277003e+09
2.600000000000e-10,2.691000000000e+09,6.000000000000e-11,2.600000000000e-10,2.554373646012e+09,2.188696582915e-11,4.272821569650e+09
2.700000000000e-10,2.499000000000e+09,7.000000000000e-11,2.700000000000e-10,2.371539294346e+09,2.334410188442e-11,4.145268012267e+09
2.800000000000e-10,2.342000000000e+09,8.000000000000e-11,2.800000000000e-10,2.223178233738e+09,2.480123793970e-11,4.028911145190e+09
2.900000000000e-10,2.212000000000e+09,9.000000000000e-11,2.900000000000e-10,2.099580463860e+09,2.625837399497e-11,3.922192435944e+09
3.000000000000e-10,2.101000000000e+09,1.000000000000e-10,3.000000000000e-10,1.994492629069e+09,2.771551005025e-11,3.823841894854e+09
3.100000000000e-10,2.006000000000e+09,1.100000000000e-10,3.100000000000e-10,1.903678538548e+09,2.917264610553e-11,3.732812739030e+09
3.200000000000e-10,1.922000000000e+09,1.200000000000e-10,3.200000000000e-10,1.824151258165e+09,3.062978216080e-11,3.648233289133e+09
3.300000000000e-10,1.848000000000e+09,1.300000000000e-10,3.300000000000e-10,1.753735122873e+09,3.208691821608e-11,3.569370969593e+09
3.400000000000e-10,1.781000000000e+09,1.400000000000e-10,3.400000000000e-10,1.690802136726e+09,3.354405427136e-11,3.495604968261e+09
3.500000000000e-10,1.722000000000e+09,1.500000000000e-10,3.500000000000e-10,1.634106163953e+09,3.500119032663e-11,3.426405195346e+09
3.600000000000e-10,1.668000000000e+09,1.600000000000e-10,3.600000000000e-10,1.582674702948e+09,3.645832638191e-11,3.361315894228e+09
3.700000000000e-10,1.628000000000e+09,1.700000000000e-10,3.700000000000e-10,1.535735988969e+09,3.791546243719e-11,3.299942734831e+09
