x_position,avg_sqrt_s,sqrt_avg_s
-2.5132741229e+01,2.0791526087e-05,2.0793518509e-05
-2.4740042147e+01,2.0806713368e-05,2.0808382062e-05
-2.4347343065e+01,2.0848573043e-05,2.0849505334e-05
-2.3954643984e+01,2.0908387976e-05,2.0908647388e-05
-2.3561944902e+01,2.0976176963e-05,2.0976176963e-05
-2.3169245820e+01,2.1043292079e-05,2.1043543229e-05
-2.2776546739e+01,2.1101248714e-05,2.1102123719e-05
-2.2383847657e+01,2.1141125691e-05,2.1142657946e-05
-2.1991148575e+01,2.1155443950e-05,2.1157258518e-05
-2.1598449493e+01,2.1141108505e-05,2.1142640231e-05
-2.1205750412e+01,2.1101213932e-05,2.1102088222e-05
-2.0813051330e+01,2.1043239109e-05,2.1043489835e-05
-2.0420352248e+01,2.0976176963e-05,2.0976176963e-05
-2.0027653167e+01,2.0908333792e-05,2.0908593649e-05
-1.9634954085e+01,2.0848536324e-05,2.0849469406e-05
-1.9242255003e+01,2.0806694759e-05,2.0808364063e-05
-1.8849555922e+01,2.0791526087e-05,2.0793518509e-05
-1.8456856840e+01,2.0806713368e-05,2.0808382062e-05
-1.8064157758e+01,2.0848573043e-05,2.0849505334e-05
-1.7671458676e+01,2.0908387976e-05,2.0908647388e-05
-1.7278759595e+01,2.0976176963e-05,2.0976176963e-05
-1.6886060513e+01,2.1043292079e-05,2.1043543229e-05
-1.6493361431e+01,2.1101248714e-05,2.1102123719e-05
-1.6100662350e+01,2.1141125691e-05,2.1142657946e-05
-1.5707963268e+01,2.1155443950e-05,2.1157258518e-05
-1.5315264186e+01,2.1141108505e-05,2.1142640231e-05
-1.4922565105e+01,2.1101213932e-05,2.1102088222e-05
-1.4529866023e+01,2.1043239109e-05,2.1043489835e-05
-1.4137166941e+01,2.0976176963e-05,2.0976176963e-05
-1.3744467859e+01,2.0908333792e-05,2.0908593649e-05
-1.3351768778e+01,2.0848536324e-05,2.0849469406e-05
-1.2959069696e+01,2.0806694759e-05,2.0808364063e-05
-1.2566370614e+01,2.0791526087e-05,2.0793518509e-05
-1.2173671533e+01,2.0806713368e-05,2.0808382062e-05
-1.1780972451e+01,2.0848573043e-05,2.0849505334e-05
-1.1388273369e+01,2.0908387976e-05,2.0908647388e-05
-1.0995574288e+01,2.0976176963e-05,2.0976176963e-05
-1.0602875206e+01,2.1043292079e-05,2.1043543229e-05
-1.0210176124e+01,2.1101248714e-05,2.1102123719e-05
-9.8174770425e+00,2.1141125691e-05,2.1142657946e-05
-9.4247779608e+00,2.1155443950e-05,2.1157258518e-05
-9.0320788791e+00,2.1141108505e-05,2.1142640231e-05
-8.6393797974e+00,2.1101213932e-05,2.1102088222e-05
-8.2466807157e+00,2.1043239109e-05,2.1043489835e-05
-7.8539816340e+00,2.0976176963e-05,2.0976176963e-05
-7.4612825523e+00,2.0908333792e-05,2.0908593649e-05
-7.0685834706e+00,2.0848536324e-05,2.0849469406e-05
-6.6758843889e+00,2.0806694759e-05,2.0808364063e-05
-6.2831853072e+00,2.0791526087e-05,2.0793518509e-05
-5.8904862255e+00,2.0806713368e-05,2.0808382062e-05
-5.4977871438e+00,2.0848573043e-05,2.0849505334e-05
-5.1050880621e+00,2.0908387976e-05,2.0908647388e-05
-4.7123889804e+00,2.0976176963e-05,2.0976176963e-05
-4.3196898987e+00,2.1043292079e-05,2.1043543229e-05
-3.9269908170e+00,2.1101248714e-05,2.1102123719e-05
-3.5342917353e+00,2.1141125691e-05,2.1142657946e-05
-3.1415926536e+00,2.1155443950e-05,2.1157258518e-05
-2.7488935719e+00,2.1141108505e-05,2.1142640231e-05
-2.3561944902e+00,2.1101213932e-05,2.1102088222e-05
-1.9634954085e+00,2.1043239109e-05,2.1043489835e-05
-1.5707963268e+00,2.0976176963e-05,2.0976176963e-05
-1.1780972451e+00,2.0908333792e-05,2.0908593649e-05
-7.8539816340e-01,2.0848536324e-05,2.0849469406e-05
-3.9269908170e-01,2.0806694759e-05,2.0808364063e-05
0.0000000000e+00,2.0791526087e-05,2.0793518509e-05
3.9269908170e-01,2.0806713368e-05,2.0808382062e-05
7.8539816340e-01,2.0848573043e-05,2.0849505334e-05
1.1780972451e+00,2.0908387976e-05,2.0908647388e-05
1.5707963268e+00,2.0976176963e-05,2.0976176963e-05
1.9634954085e+00,2.1043292079e-05,2.1043543229e-05
2.3561944902e+00,2.1101248714e-05,2.1102123719e-05
2.7488935719e+00,2.1141125691e-05,2.1142657946e-05
3.1415926536e+00,2.1155443950e-05,2.1157258518e-05
3.5342917353e+00,2.1141108505e-05,2.1142640231e-05
3.9269908170e+00,2.1101213932e-05,2.1102088222e-05
4.3196898987e+00,2.1043239109e-05,2.1043489835e-05
4.7123889804e+00,2.0976176963e-05,2.0976176963e-05
5.1050880621e+00,2.0908333792e-05,2.0908593649e-05
5.4977871438e+00,2.0848536324e-05,2.0849469406e-05
5.8904862255e+00,2.0806694759e-05,2.0808364063e-05
6.2831853072e+00,2.0791526087e-05,2.0793518509e-05
