p0 (For observed curve),n_qc_max (For observed curve),p0(For analytic curve),n_qc_max (For analytic curve)
1.900000000000e-10,0.000000000000e+00,1.900000000000e-10,0.000000000000e+00
1.950000000000e-10,0.000000000000e+00,1.900600120024e-10,0.000000000000e+00
1.954761904762e-10,0.000000000000e+00,1.901200240048e-10,0.000000000000e+00
1.959523809524e-10,0.000000000000e+00,1.901800360072e-10,0.000000000000e+00
1.964285714286e-10,0.000000000000e+00,1.902400480096e-10,0.000000000000e+00
1.969047619048e-10,0.000000000000e+00,1.903000600120e-10,0.000000000000e+00
1.973809523810e-10,0.000000000000e+00,1.903600720144e-10,0.000000000000e+00
1.978571428571e-10,0.000000000000e+00,1.904200840168e-10,0.000000000000e+00
1.983333333333e-10,0.000000000000e+00,1.904800960192e-10,0.000000000000e+00
1.988095238095e-10,0.000000000000e+00,1.905401080216e-10,0.000000000000e+00
1.992857142857e-10,0.000000000000e+00,1.906001200240e-10,0.000000000000e+00
1.997619047619e-10,0.000000000000e+00,1.906601320264e-10,0.000000000000e+00
2.000000000000e-10,0.000000000000e+00,1.907201440288e-10,0.000000000000e+00
2.000010000000e-10,0.000000000000e+00,1.907801560312e-10,0.000000000000e+00
2.000332500000e-10,1.919689044351e-02,1.908401680336e-10,0.000000000000e+00
2.000977500000e-10,3.284170332763e-02,1.909001800360e-10,0.000000000000e+00
2.002380952381e-10,5.141230898167e-02,1.909601920384e-10,0.000000000000e+00
2.007142857143e-10,8.906306263086e-02,1.910202040408e-10,0.000000000000e+00
2.015571428571e-10,1.308003212603e-01,1.910802160432e-10,0.000000000000e+00
2.029642857143e-10,1.793256856443e-01,1.911402280456e-10,0.000000000000e+00
2.043714285714e-10,2.165387865598e-01,1.912002400480e-10,0.000000000000e+00
2.057785714286e-10,2.475410675651e-01,1.912602520504e-10,0.000000000000e+00
2.071857142857e-10,2.743496023477e-01,1.913202640528e-10,0.000000000000e+00
2.085928571429e-10,2.982208600034e-01,1.913802760552e-10,0.000000000000e+00
2.100000000000e-10,3.198079863749e-01,1.914402880576e-10,0.000000000000e+00
2.200000000000e-10,4.337203405791e-01,1.915003000600e-10,0.000000000000e+00
2.300000000000e-10,5.104530320980e-01,1.915603120624e-10,0.000000000000e+00
2.400000000000e-10,5.673641862551e-01,1.916203240648e-10,0.000000000000e+00
2.500000000000e-10,6.118851113044e-01,1.916803360672e-10,0.000000000000e+00
2.600000000000e-10,6.474169866979e-01,1.917403480696e-10,0.000000000000e+00
2.700000000000e-10,6.767469064834e-01,1.918003600720e-10,0.000000000000e+00
2.800000000000e-10,7.012300239728e-01,1.918603720744e-10,0.000000000000e+00
2.900000000000e-10,7.216953257251e-01,1.919203840768e-10,0.000000000000e+00
