p0,delay_time
2.002380952380952446e-10,3.549000000000000000e+10
2.007142857142857191e-10,2.134000000000000000e+10
2.015571428571428694e-10,1.495000000000000000e+10
2.029642857142857113e-10,1.111000000000000000e+10
2.043714285714285791e-10,9.220000000000000000e+09
2.057785714285714211e-10,8.102000000000000000e+09
2.071857142857142889e-10,7.322000000000000000e+09
2.085928571428571308e-10,6.738000000000000000e+09
2.099999999999999986e-10,6.278000000000000000e+09
2.199999999999999899e-10,4.540000000000000000e+09
2.300000000000000071e-10,3.750000000000000000e+09
2.399999999999999984e-10,3.267000000000000000e+09
2.500000000000000156e-10,2.937000000000000000e+09
2.600000000000000327e-10,2.691000000000000000e+09
2.699999999999999982e-10,2.499000000000000000e+09
2.800000000000000154e-10,2.342000000000000000e+09
2.900000000000000325e-10,2.212000000000000000e+09
2.999999999999999980e-10,2.101000000000000000e+09
3.100000000000000152e-10,2.006000000000000000e+09
3.200000000000000323e-10,1.922000000000000000e+09
3.299999999999999978e-10,1.848000000000000000e+09
3.400000000000000150e-10,1.781000000000000000e+09
3.500000000000000321e-10,1.722000000000000000e+09
3.599999999999999976e-10,1.668000000000000000e+09
3.700000000000000665e-10,1.628000000000000000e+09
3.800000000000000319e-10,1.582000000000000000e+09
3.899999999999999974e-10,1.540000000000000000e+09
4.000000000000000146e-10,1.501000000000000000e+09
4.100000000000000317e-10,1.465000000000000000e+09
4.200000000000000489e-10,1.431000000000000000e+09
4.300000000000000661e-10,1.399000000000000000e+09
4.400000000000000315e-10,1.370000000000000000e+09
4.500000000000001004e-10,1.342000000000000000e+09
4.600000000000000659e-10,1.316000000000000000e+09
4.700000000000000313e-10,1.291000000000000000e+09
4.799999999999999968e-10,1.267000000000000000e+09
4.900000000000000657e-10,1.245000000000000000e+09
